"Freq [GHz]","dB(S(1,1)) [] - n='5mm'","dB(S(1,1)) [] - n='6mm'","dB(S(1,1)) [] - n='7mm'","dB(S(1,1)) [] - n='8mm'","dB(S(1,1)) [] - n='9mm'","dB(S(1,1)) [] - n='10mm'","dB(S(1,1)) [] - n='11mm'","dB(S(1,1)) [] - n='12mm'","dB(S(1,1)) [] - n='13mm'","dB(S(1,1)) [] - n='14mm'","dB(S(1,1)) [] - n='15mm'"
3.31077694235589,-0.00303344715684345,-0.00854849065226522,-0.0244301490490264,-0.0519018690297288,-0.10603458262201,-0.183724834781265,-0.298731796608156,-0.43500440281815,-0.663992953001976,-0.88860123868307,-1.11835891313072
3.32080200501253,-0.00307609932629121,-0.00869496351914865,-0.0248394095757291,-0.0528268820568604,-0.107968154942832,-0.187314052099301,-0.304617306665653,-0.444429817865763,-0.677497101725043,-0.905738529318169,-1.139006588821
3.33082706766917,-0.00311968959608261,-0.00884500720789822,-0.0252546924195277,-0.0537687031680777,-0.109935256364209,-0.190984366601478,-0.310670143025835,-0.454163233376735,-0.691346284981635,-0.92325788183288,-1.15994378659603
3.34085213032581,-0.00316422103040488,-0.00899863624616737,-0.0256760699287572,-0.0547275379529766,-0.111936187620185,-0.194737327997306,-0.316892696283773,-0.464206170987156,-0.705542056548328,-0.941159945467825,-1.18116984371158
3.35087719298246,-0.00320969677920899,-0.00915586551965484,-0.0261036186182982,-0.0557035963590537,-0.113971251616864,-0.198574614303084,-0.323287391369237,-0.474560105187202,-0.720085833327986,-0.959445081535575,-1.20268384315132
3.3609022556391,-0.00325612008207009,-0.00931671028711806,-0.0265374194655311,-0.0566970928280171,-0.116040753639863,-0.202498063644957,-0.329856687988377,-0.485226462019374,-0.734978888393183,-0.978113353066238,-1.22448460452636
3.37092731829574,-0.00330349427219696,-0.00948118619583585,-0.0269775582204812,-0.057708246436415,-0.118145001624272,-0.206509717239004,-0.336603081045445,-0.496206617720312,-0.750222343928496,-0.997164514537778,-1.24657067505807
3.38095238095238,-0.00335182278052742,-0.00964930929753014,-0.0274241257298902,-0.0587372810407761,-0.120284306500343,-0.210611878391055,-0.343529101040947,-0.507501897303013,-0.765817164079912,-1.01659800171981,-1.26894032067315
3.39097744360902,-0.00340110913995343,-0.00982109606478375,-0.0278772182746875,-0.0597844254273677,-0.122458982630381,-0.21480719487492,-0.350637314442066,-0.519113573076219,-0.781764147720177,-1.03641292166074,-1.29159151724106
3.40100250626566,-0.00345135698965843,-0.00999656340794852,-0.0283369379202261,-0.0608499134667918,-0.124669348354949,-0.219098776113629,-0.357930324020947,-0.531042863097888,-0.798063921139753,-1.05660804284907,-1.31452194198547
3.41102756892231,-0.00350257007957841,-0.0101757286925384,-0.028803392878298,-0.0619339842734956,-0.126915726669698,-0.223490363325541,-0.365410769155857,-0.543290929559515,-0.814716930673769,-1.07718178558126,-1.33772896510253
3.42105263157895,-0.00355475227500329,-0.0103586097572013,-0.0292766978797318,-0.0630368823704401,-0.129198446057555,-0.22798658228106,-0.37308132608974,-0.555858877098252,-0.831723435276054,-1.09813221256887,-1.36120964162009
3.43107769423559,-0.00360790756128961,-0.0105452249321744,-0.0297569745560553,-0.0641588578590835,-0.131517841505239,-0.232593328513362,-0.38094470814022,-0.568747751033742,-0.849083499052326,-1.11945701981939,-1.38496070353281
3.44110275689223,-0.00366204004871826,-0.0107355930583286,-0.0302443518283268,-0.065300166594822,-0.133874255737517,-0.237318371630948,-0.3890036658544,-0.58195853552668,-0.866796983765211,-1.14115352782547,-1.40897855224965
3.45112781954887,-0.00371715397748005,-0.0109297335067671,-0.0307389663009066,-0.0664610703681242,-0.136268040707995,-0.242172335191216,-0.39726098710131,-0.595492151656167,-0.8848635413247,-1.16321867309859,-1.4332592513907
3.46115288220551,-0.00377325372283043,-0.0111276661990335,-0.031240962657529,-0.0676418370915399,-0.138699559391127,-0.247170347244622,-0.405719497094055,-0.609349455413042,-0.90328260627845,-1.18564900008328,-1.45779851997133
3.47117794486216,-0.00383034380035091,-0.0113294116279043,-0.0317504940565713,-0.0688427409927777,-0.141169187926643,-0.252334947066538,-0.414382058333096,-0.623531235606445,-0.922053388317213,-1.20844065348943,-1.48259172601239
3.4812030075188,-0.00388842887138345,-0.0115349908788273,-0.032267722521983,-0.0700640628140366,-0.143677318174967,-0.257701480938807,-0.423251570461279,-0.638038211681033,-0.941174864811374,-1.23158937107991,-1.50763388061565
3.49122807017544,-0.00394751374862859,-0.0117444256519857,-0.0327928193258414,-0.0713060900178809,-0.146224360750162,-0.263328773592375,-0.432330970020395,-0.652871031442383,-0.960645773395673,-1.25509047695169,-1.53291963254417
3.50125313283208,-0.00400760340187129,-0.0119577382850356,-0.0333259653580265,-0.0725691169997876,-0.148810748605524,-0.269321939811365,-0.441623230098263,-0.668030268688244,-0.980464604619755,-1.27893887534872,-1.55844326334729
3.51127819548872,-0.00406870296390608,-0.0121749517765277,-0.0338673514779388,-0.0738534453076719,-0.151436941256102,-0.275886150747427,-0.451131359854344,-0.683516420743526,-1.00062959468316,-1.30312904504481,-1.58419868307051
3.52130325814536,-0.00413081773659883,-0.0123960898100289,-0.0344171788427914,-0.0751593838686042,-0.154103429731829,-0.283470429229264,-0.460858403910995,-0.699329905897077,-1.02113871827431,-1.32765503433497,-1.61017942658979
3.531328320802,-0.00419395319714976,-0.0126211767789668,-0.034975659206372,-0.0764872492229309,-0.156810742364377,-0.293223165045892,-0.470807441596497,-0.715471060738476,-1.04198968153351,-1.35251045667337,-1.63637865060992
3.54135338345865,-0.00425811500450854,-0.0128502378122333,-0.035543015181878,-0.0778373657661421,-0.159559451519848,-0.308815969007792,-0.480981586024895,-0.731940137393354,-1.06317991516126,-1.37768848699581,-1.66278913136595
3.55137844611529,-0.00432330900599933,-0.0130832988005466,-0.0361194804618621,-0.0792100659986433,-0.162350181397308,-0.346311960605492,-0.491383982996755,-0.748737300655916,-1.08470656769342,-1.40318185876396,-1.68940326306584
3.56140350877193,-0.00438954124410963,-0.0133203864236181,-0.0367052999880521,-0.080605690783798,-0.165183617019035,-0.461158312135229,-0.502017809703821,-0.765862625017746,-1.10656649896609,-1.42898286176823,-1.71621305711161
3.57142857142857,-0.00445681796349489,-0.0135615281781245,-0.0373007300635884,-0.0820245896144516,-0.168060514541233,-0.385332235882769,-0.512886273219431,-0.783316091592014,-1.12875627379321,-1.45508334072496,-1.74321014213498
3.58145363408521,-0.0045251456181682,-0.0138067524065444,-0.037906038399926,-0.0834671208882853,-0.170981713011936,-0.333577357880658,-0.523992608755689,-0.801097584932803,-1.15127215588107,-1.48147469470289,-1.77038576488208
3.59147869674185,-0.0045945308789174,-0.0140560883268476,-0.0385215040907638,-0.0849336521922596,-0.173948147694545,-0.325794084302322,-0.53534007766709,-0.819206889749325,-1.17411010200425,-1.50814787741237,-1.79773079197995
3.6015037593985,-0.00466498064089093,-0.0143095660630904,-0.0391474175053872,-0.0864245605964773,-0.176960865057708,-0.327251865114799,-0.546931965179586,-0.837643687515335,-1.19726575646821,-1.5350933983897,-1.82523571261582
3.61152882205514,-0.00473650203147487,-0.0145672166769359,-0.0397840800941914,-0.0879402329577768,-0.18002103950296,-0.331504869296751,-0.55877157782298,-0.856407552974296,-1.22073444588432,-1.56230132510689,-1.85289064215758
3.62155388471178,-0.00480910241831173,-0.0148290722001373,-0.0404318040995885,-0.0894810662333964,-0.183129991856651,-0.336898594207499,-0.570862240543807,-0.875497950541259,-1.24451117428367,-1.58976128603581,-1.88068532674163
